Gene	SRR2072599	SRR2072600	SRR2072601	SRR2072602	SRR2072603	SRR2072604	SRR2072605	SRR2072606	SRR2072608	SRR2072609
ENSG00000101311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101331	0.0	0.0	1.7757964	0.97719884	0.0	0.0	1.0080901	2.2607467	0.0	0.0
ENSG00000101333	79.58282	0.0	0.77318037	0.0	169.21526	0.0	0.0	0.0	0.5982527	0.0
ENSG00000101335	0.50108236	3.2993054	0.0	0.0	4.972585	3.327336	0.51686627	0.0	3.2786033	1.6595519
ENSG00000101336	204.62859	1680.7006	6114.9185	3438.7263	261.7047	1548.8749	5104.83	3435.81	2161.5508	6352.055
ENSG00000101337	866.55304	787.321	2092.6958	1405.8628	648.0359	665.14044	1676.391	1627.6865	750.82416	1733.5559
ENSG00000101342	71.71089	55.939613	78.733665	84.28771	102.87212	183.027	166.00519	114.27719	66.892654	73.61199
ENSG00000101343	461.72177	340.24426	608.6668	472.59488	543.9797	500.10022	643.25116	474.61508	341.41302	382.37305
ENSG00000101346	173.81317	218.25269	383.73758	249.57643	244.61555	217.23775	377.88312	390.9255	389.59793	500.8654
ENSG00000101347	2239.062	4959.493	4527.074	2903.4514	2572.2053	4331.66	5233.202	3447.8257	8232.119	5478.751
ENSG00000101349	1.9088252	0.0	0.9935095	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000101350	268.41443	631.20856	475.80707	485.356	335.85165	655.70154	572.38	498.39658	642.922	388.0291
ENSG00000101353	19.206741	14.81959	10.558491	3.60603	25.536198	9.199236	12.202089	14.655188	11.898863	10.968839
ENSG00000101361	1152.2844	701.106	719.3318	346.58023	1389.6085	824.413	778.71497	362.5412	831.8425	665.6474
ENSG00000101363	115.230774	118.620605	164.90762	99.4306	141.83902	153.12456	215.4853	164.1071	122.01904	207.08063
ENSG00000101365	1286.8546	1240.813	1233.2959	1208.6353	1241.1942	1142.0988	930.06445	1083.2072	1274.4535	976.53656
ENSG00000101367	2123.8894	2391.8481	2392.9592	2293.6523	2220.8196	2085.844	2500.4678	2073.7065	2392.0588	1756.8945
ENSG00000101384	119.184235	110.52327	90.068184	274.40607	370.9287	168.37842	127.605255	405.2296	142.27765	42.296867
ENSG00000101391	405.81345	333.66296	405.83517	384.55472	474.99023	503.7841	459.75742	376.07718	345.6863	345.03723
ENSG00000101400	188.9967	59.604534	3.928837	14.781103	194.58896	73.49461	4.0976567	17.020142	79.15943	5.9284306
ENSG00000101405	2.934362	0.0	0.0	0.0	1.9675328	0.98234683	1.0220131	0.0	0.9834893	0.0
ENSG00000101407	115.76685	129.64296	120.89602	110.028206	112.95944	157.0926	167.4425	107.53843	163.45607	113.633125
ENSG00000101412	14.70638	33.35175	876.5801	9.884508	22.78056	51.61852	1210.0026	10.984947	62.336212	499.90613
ENSG00000101413	474.54517	444.32425	565.24817	531.11847	449.39716	702.6549	782.3979	674.1893	276.60593	350.4565
