Gene	SRR3471108	SRR3471109	SRR3471110	SRR3471111	SRR3471112	SRR3471113	SRR3471114	SRR3471115	SRR3471116
ENSMUSG00000061877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000061878	399.7967	438.5787	357.17618	235.42429	255.20634	183.6514	358.7812	374.91602	319.4276
ENSMUSG00000061882	136.48624	174.33444	102.00652	253.99634	192.73906	161.6962	434.77142	443.364	412.57794
ENSMUSG00000061887	1100.1825	1010.6205	822.33514	366.57452	266.34393	320.889	765.5728	650.7301	596.29034
ENSMUSG00000061894	211.32199	192.69514	163.10301	109.95835	160.8088	129.88506	236.60529	212.8945	236.20949
ENSMUSG00000061898	605.02814	672.6346	493.11508	285.10593	244.32161	235.25357	576.2897	555.8661	356.36334
ENSMUSG00000061904	6596.7456	6498.1064	5668.237	6652.7217	6324.5615	5124.8877	8795.329	8945.207	7559.0015
ENSMUSG00000061906	0.0	0.0	0.0	0.0	0.0	0.0	2.4356358	0.0	0.0
ENSMUSG00000061911	4.495677	1.0971156	1.0611509	40.47958	24.256313	8.201948	25.82745	53.078556	64.11066
ENSMUSG00000061923	1.9443738	0.94879746	1.9089843	6.897597	5.9521127	2.976863	1.0342126	1.0303048	1.0263238
ENSMUSG00000061928	5.221888	3.1707277	1.9601785	3.0756516	4.0676374	4.895039	9.493815	8.963879	6.861741
ENSMUSG00000061937	0.0	0.0	0.0	0.0	0.0	0.0	4.110924	3.2579048	4.158873
ENSMUSG00000061947	2.135292	10.677173	1.0695454	7.2199054	8.850767	6.1452203	7.870523	0.0	9.135068
ENSMUSG00000061950	3233.7664	3095.5876	2578.956	2518.6282	2839.4727	2233.6345	4218.038	4408.802	3822.0342
ENSMUSG00000061952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000061958	0.0	0.0	0.0	0.97115934	0.0	0.0	1.8047992	0.0	1.9705307
ENSMUSG00000061959	2.9246516	7.0560455	1.630268	0.0	0.846273	0.82038975	1.6160867	4.044414	4.948095
ENSMUSG00000061961	0.0	0.0	0.0	0.0	1.0290127	0.0	0.96033543	1.9140302	0.9741788
ENSMUSG00000061972	0.0	1.0448849	0.0	0.9712971	0.0	0.0	2.9749029	0.0	0.0
ENSMUSG00000061974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000061977	0.0	0.0	0.0	0.0	0.0	0.0	0.9746836	0.0	0.0
ENSMUSG00000061979	204.03752	263.16855	266.3995	396.76352	273.50732	267.50702	369.41528	420.73804	377.08008
ENSMUSG00000061981	1595.3954	1640.487	1193.6957	1170.8202	1220.9226	998.92334	1692.5104	1780.4037	1440.5299
ENSMUSG00000061983	1767.6957	1970.7725	1680.2803	2573.4556	2326.3733	2144.4885	2394.5034	2475.9597	1943.9283
ENSMUSG00000061984	8.243024	10.481914	12.788072	12.768703	16.035913	6.0601907	22.173914	15.896544	17.842745
ENSMUSG00000061991	1094.4099	1219.3336	951.4914	191.73373	156.61226	143.49303	195.13	217.83112	165.89877
ENSMUSG00000062006	11027.501	13417.889	10513.958	16258.743	17238.902	15244.4375	22915.697	23014.387	19433.9
ENSMUSG00000062007	10.37328	5.4169736	5.881606	121.623	104.46757	86.68614	206.47525	218.7442	184.29816
ENSMUSG00000062012	255.47499	293.90073	187.97165	76.46843	92.241646	57.09797	166.87442	167.85345	162.26764
ENSMUSG00000062014	3642.2378	3643.9294	2916.2788	3858.7183	4016.582	3292.398	4981.9263	5087.0884	4090.2292
ENSMUSG00000062017	4.50549	10.104419	3.7345572	16.793602	27.584105	26.509892	24.584644	13.384105	34.38309
ENSMUSG00000062028	1.9875107	2.2763665	1.6012003	4.098772	4.3912644	1.1825912	3.287795	4.365072	8.99568
ENSMUSG00000062031	309.47357	240.88347	267.3482	445.9564	455.09863	381.7752	696.7846	791.2504	608.54517
ENSMUSG00000062037	8.493262	14.793736	10.885268	10.300023	10.110952	7.801141	21.9605	25.680792	14.01325
ENSMUSG00000062040	383.72278	388.73712	289.22797	142.92378	195.7227	131.24487	309.24417	332.9814	337.22433
ENSMUSG00000062042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000062044	3.3096323	3.3841944	0.0	2.8275204	1.9207888	1.9749761	1.9078287	1.913104	4.7199316
ENSMUSG00000062046	0.0	2.1458385	0.0	1.0431178	0.9727527	0.0	4.8261237	1.9031183	1.9300302
ENSMUSG00000062054	268.0236	286.0506	225.63078	284.9985	307.96045	233.5643	448.66068	505.41898	386.25
ENSMUSG00000062061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSMUSG00000062064	12.276942	7.5820723	6.8371964	3.8225942	7.2662086	4.8032093	11.603599	9.677326	6.8180895
ENSMUSG00000062070	13705.54	13527.459	11103.771	18330.605	17527.438	14365.057	25464.146	26034.475	22330.516
ENSMUSG00000062074	0.0	2.0846834	0.0	1.0150362	0.9956126	0.0	0.0	0.0	0.948862
ENSMUSG00000062075	2440.7966	2510.6013	2058.0698	942.0247	1090.9578	826.89734	2081.8508	2058.1453	1672.3457
ENSMUSG00000062077	3.0940154	6.047255	2.91821	1.9946082	0.0	0.0	0.98109335	1.9865792	3.9746764
ENSMUSG00000062078	7561.6914	7410.948	6058.828	6276.6294	6683.064	5165.06	9142.375	9159.223	7650.1035
ENSMUSG00000062082	2.3176773	0.7719947	2.4434323	14.9435005	17.437227	12.858286	25.327372	23.961866	15.677169
ENSMUSG00000062098	555.9189	547.70935	429.61734	323.5414	307.93494	271.16425	521.5972	511.09097	405.48502
ENSMUSG00000062101	153.50522	196.82468	142.01064	112.57342	113.32378	92.6762	207.33588	173.45271	146.5719
ENSMUSG00000062103	0.0	0.0	0.0	1.6095562	1.7145524	3.5727725	4.079698	0.8160991	5.008054
ENSMUSG00000062105	12.279815	14.108529	11.810636	21.631668	23.75797	8.965167	24.061533	20.600512	17.768467
ENSMUSG00000062110	236.32863	159.87122	148.90227	279.99817	158.2177	86.151115	229.46098	283.69992	183.2896
ENSMUSG00000062115	1770.54	1541.3125	1477.2349	1330.4342	1215.5635	1177.9803	1867.0435	1746.4387	1331.3945
ENSMUSG00000062116	131.28963	177.3364	141.69427	104.95496	126.19083	96.10205	156.30885	138.29295	120.527855
ENSMUSG00000062121	81.6826	104.04754	75.52203	85.187096	79.83498	75.85838	130.72673	125.01983	106.93679
ENSMUSG00000062124	0.0	0.0	0.0	0.0	2.043026	0.0	5.771083	1.9258039	0.0
ENSMUSG00000062127	1424.3466	1591.3405	1321.7626	5385.5815	5371.5107	4390.335	8026.4795	8108.7793	6791.4365
ENSMUSG00000062128	17.870613	10.209869	9.020123	19.530119	14.583118	16.41265	17.138655	28.425327	23.880886
ENSMUSG00000062132	0.0	0.0	0.0	0.0	0.9998174	0.0	1.9463507	0.0	3.8784924
ENSMUSG00000062142	4.029344	5.968287	4.907284	3.98315	5.13836	5.884211	8.833838	12.800623	12.88573
ENSMUSG00000062148	0.0	0.0	0.0	0.0	0.0	0.0	0.71748376	0.0	1.3526487
ENSMUSG00000062151	3.000579	3.5331893	1.8391424	4.064836	5.9522977	4.675905	14.547448	13.609124	9.678238
ENSMUSG00000062154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9735892
ENSMUSG00000062157	11.173012	11.690155	8.024621	5.2236676	6.1377873	6.944236	12.199955	5.0103745	10.06918
ENSMUSG00000062162	12.086542	6.5578094	9.403406	7.347448	5.9234557	8.521021	4.1999774	15.373774	11.602261
ENSMUSG00000062165	0.0	1.0252986	0.9741754	1.0116137	1.85633	0.0	0.99218035	0.0	2.0336897
ENSMUSG00000062168	2606.7039	2865.5771	2259.2437	5031.2007	4958.8745	4307.744	7416.7524	7159.6387	5846.824
ENSMUSG00000062169	1248.2676	1291.8401	1088.6427	1476.1365	1311.5096	1303.6927	2583.948	2469.8042	2087.2732
ENSMUSG00000062170	0.0	0.0	0.0	39.956886	38.92925	31.653467	65.36272	61.221794	34.482433
ENSMUSG00000062175	3.935925	6.7600417	5.6555853	1.9173061	9.578752	3.782964	6.489071	7.5773735	9.24179
ENSMUSG00000062181	0.0	1.1400558	0.0	0.0	0.0	0.0	0.0	0.0	3.552603
ENSMUSG00000062184	0.0	1.023535	0.0	0.9456061	0.9677784	0.0	5.9905005	5.045677	4.038271
ENSMUSG00000062186	22.216412	29.400478	15.571273	40.69395	33.10318	26.512129	55.294937	54.846962	58.040173
ENSMUSG00000062190	1372.0043	1409.9515	1232.6754	1278.8069	1342.8995	1067.2429	1805.4534	1775.8622	1535.6002
ENSMUSG00000062198	318.6117	372.30353	312.4968	275.98987	315.77054	231.39445	408.9491	394.27014	339.54358
ENSMUSG00000062199	0.0	0.0	0.0	0.0	0.0	0.0	0.9746907	0.0	0.0
ENSMUSG00000062200	28.12614	27.453138	21.740591	26.354761	19.61546	26.845425	69.227615	84.741905	63.138626
ENSMUSG00000062201	0.0	0.0	0.0	1.2290801	1.1356748	1.0456284	0.0	0.86605835	1.0817394
ENSMUSG00000062202	1088.1078	1053.3131	832.6025	1036.5464	925.16876	826.06573	1711.6919	1587.1351	1250.7668
ENSMUSG00000062203	3531.353	3437.782	2922.6096	3992.6995	4443.4995	3084.032	5925.783	5598.8613	4919.8516
ENSMUSG00000062204	0.0	0.0	0.0	0.0	0.0	0.0	1.9493724	0.0	0.0
